HOSPID,ProviderNames,FacilityType
215090,Loch Raven Center - S/NF DP*,MD Long Term Care Hospitals (New in FY 2016)
215092,Collingswood Nsg. & Rehab. Cen - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215094,Golden Livingcenter- Westminster - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215095,Manorcare Health Services - Bethesda - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215096,Multi-Medical Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215097,Catonsville Commons - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215099,Wilson Health Care Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215105,Citizens Care And Rehabilitation Center Of Frederi - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215106,Charles Co. Nsg & Rehab Ctr - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215107,Rockville Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215108,Magnolia Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215109,Manorcare Health Services - Rossville - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215110,Western Md Hospital Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215111,Laurelwood Care Center At Elkton - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215112,Lorien Health Systems - Columbia - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215113,Ravenwood Nursing Care Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215114,Corsica Hills Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215115,Frostburg Village - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215117,"Stella Maris, Inc. - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215118,Future Care Old Court - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215120,Crofton Convalescent Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215121,Snow Hill Nursing & Rehab Ctr - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215123,Broadmead - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215125,National Lutheran Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215126,Berlin Nursing And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215128,"Courtland, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215129,Cromwell Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215130,"Fairhaven, Inc. - SNF",MD Long Term Care Hospitals (New in FY 2016)
215132,Deer's Head Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215133,Carroll Lutheran Village - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215134,Hartley Hall Nursing And Rehabilitation - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215135,Heritage Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215136,Transitions Healthcare At Sykesville - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215137,William Hill Manor Healthcare - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215138,Marley Neck Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215141,Patuxent River Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215142,Chesapeake Shores - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215143,Severna Park Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215144,Reeders Memorial Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215145,St Thomas More Medical Complex - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215146,Fort Washington Health & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215147,Future Care Northpoint - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215148,Waugh Chapel Center (formally Knollwood Manor Nursing Home) SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215149,Envoy Of Denton - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215151,Laplata Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215154,Roland Park Place - SNF,MD Long Term Care Hospitals (New in FY 2016)
215160,Ellicott City Health & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215161,Charlotte Hall Veterans Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215164,Shady Grove Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215165,Bradford Oaks Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215168,Layhill Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215171,Manorcare Health Services - Potomac - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215174,Ginger Cove - SNF,MD Long Term Care Hospitals (New in FY 2016)
215176,Future Care Canton Harbor - S/NF DP*,MD Long Term Care Hospitals (New in FY 2016)
215177,Cherry Lane - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215178,Frederick Villa Nursing & Rehab Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215179,"Aurora Senior Living of Manokin, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215180,Collington Episcopal Life Care - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215181,Oakwood Care Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215183,Fayette Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215184,Golden Living Center - Frederick - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215186,Future Care Chesapeake - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215187,Bethesda Health And Rehabilitation - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215188,Calvert County Nursing Ctr. - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215189,Calvert Manor Health Care Cent - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215191,Signature Healthcare At Mallard Bay - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215192,Future Care Cherrywood - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215193,Augsburg Lutheran Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215194,Forest Hill Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215195,Bridgepark Healthcare Center - Frm Liberty Heights - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215197,Fox Chase Rehab & Nursing Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215198,Williamsport Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215199,Vindobona Nursing And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215200,Brooke Grove Rehab. & Nsg Ctr - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215203,Riverview Rehabilitation & Health Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215204,Holly Hill Nursing And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215207,"Lochearn Nursing Home, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215209,Overlea Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215211,Friends Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215212,Hillhaven Nursing Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215215,Alice Manor Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215216,Dennett Road Manor - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215217,Northampton Manor - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215219,Future Care Irvington - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215220,"Mid-Atlantic Of Chapel Hill, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215221,Chesapeake Woods Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215223,Charlestown Community Inc. - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215224,Manorcare Health Services  -Silver Spring - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215225,Homewood At Williamsport Md - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215226,Powerback Rehabilitation - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215227,Ridgeway Manor Nursing & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215228,Althea Woodland Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215229,North Oaks - SNF,MD Long Term Care Hospitals (New in FY 2016)
215230,Allegany Health Nursing And Rehab - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215231,Clinton Nursing & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215232,Oakland Nursing & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215233,Lorien Health Systems - Riverside - S/NF DP*,MD Long Term Care Hospitals (New in FY 2016)
215234,Carriage Hill Bethesda - SNF,MD Long Term Care Hospitals (New in FY 2016)
215235,Heron Point Of Chestertown - SNF,MD Long Term Care Hospitals (New in FY 2016)
215236,Fairfield Nursing & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215240,Moran Manor Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215241,Good Samaritan Nursing Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215244,Devlin Manor Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215245,Homewood At Crumland Farms - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215246,Bedford Court Healthcare Cent. - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215247,Brinton Woods Nursing & Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215249,Future Care Homewood - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215250,"Goodwill Mennonite Home, Inc. - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215252,Forest Haven Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215253,Future Care Cold Spring - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215255,Chestnut Grn Hlth Ctr Blakehur - SNF,MD Long Term Care Hospitals (New in FY 2016)
215256,"Nms Healthcare Of Hagerstown, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215258,Spa Creek Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215259,Pickersgill Retirement Community - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215260,Chestertown Rehabilitation And Nursing Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215261,Franklin Woods Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215262,University Of Maryland Shore Nursing And Rehab - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215264,Larkin Chase Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215265,Copper Ridge - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215266,Glen Burnie Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215267,St Joseph's Ministries - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215268,Pleasant View Nsg Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215269,Elkton Center - S/NF DP*,MD Long Term Care Hospitals (New in FY 2016)
215270,Solomons Nursing Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215271,Future Care Sandtown-Winchester - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215272,Montgomery Village Health Care Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215273,Waldorf  Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215277,West Md Health Syst Frostburg Nrsg And Rehab Ctr - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215278,Glen Meadows Retirement Com. - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215280,Transitional Care At Good Samaritan - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215283,Transitional Care Services At Mercy Medical Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215287,Maplewood Park Place - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215289,Calvert Memorial Hospital Transitional Care Unit - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215291,Northwest Hosp. Ctr. Sub. Unit - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215296,The Villa - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215297,South River Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215299,Westgate Hills Rehab & Healthcare Ctr - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215300,"Maria Health Care Center, Inc. - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215301,Manorcare Health Services - Roland Park - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215302,Peninsula Regional Medical Ctr - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215304,Asbury Solomons Island - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215307,Egle Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215308,Oak Crest Village - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215310,Garrett County Subacute Unit - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215312,Bel Air Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215313,Glade Valley Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215314,Greater Baltimore Medical Center Sub Acute Unit - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215315,Sanctuary At Holy Cross - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215316,North Arundel Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215320,Brighton Garden Tuckerman Lane - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215321,Julia Manor Health Care Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215323,Crescent Cities Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215324,"Future Care Charles Village, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215325,Heritage Harbour Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215326,Summit Park Health And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215327,Sligo Creek Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215328,Future Care Pineview - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215329,Buckingham's Choice - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215330,Brinton Woods Post Acute Care Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215331,Manor Care Health Services - Largo - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215335,Lorien Health Systems Mt Airy - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215336,Golden Livingcenter-Hagerstown - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215337,Fahrney-Keedy Memorial Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215338,Oakview Rehabilitation And Nursing Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215339,Anchorage Nursing And Rehabilitation Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215340,Blue Point Nursing  & Rehab Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215341,Lorien Nsg & Rehab Ctr Belair - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215343,Riderwood Village - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215344,Vantage House - SNF,MD Long Term Care Hospitals (New in FY 2016)
215345,The Arbor - SNF,MD Long Term Care Hospitals (New in FY 2016)
215346,Northwest Nursing And Rehab Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215347,Manorcare Health Services - Woodbridge Valley - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215348,"Lorien Taneytown, Inc - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215349,Brinton Woods Health & Rehab Ctr At Arlington West - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215350,"Villa Rosa Nursing And Rehabilitation, LLC - SNF/NF",MD Long Term Care Hospitals (New in FY 2016)
215351,Lorien Mays Chapel - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215352,Coffman Nursing Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215353,Ingleside At King Farm - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215354,Little Sisters Of The Poor - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215355,Encore At Turf Valley - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215356,The Green House At Stadium Place - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215357,Lorien Nursing & Rehab Ctr - Elkridge - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215358,Medstar Southern Maryland Hospital Center - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215359,Lorien Bulle Rock - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215360,Maryland Baptist Aged Home - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
215361,Maryland Masonic Homes - SNF/NF,MD Long Term Care Hospitals (New in FY 2016)
21E009,Sacred Heart Home Inc - NF,MD Long Term Care Hospitals (New in FY 2016)
21E041,Crawford Retreat - NF,MD Long Term Care Hospitals (New in FY 2016)
21E104,St. Joseph's  Nursing  Home - NF,MD Long Term Care Hospitals (New in FY 2016)
660001,Edenwald,MD Long Term Care Hospitals (New in FY 2016)
660003,Presbyterian Home,MD Long Term Care Hospitals (New in FY 2016)
660005,Other Maryland Long Term Care Facility (Non-Medicare),MD Long Term Care Hospitals (New in FY 2016)
97002,Other D.C. Skilled Nursing Facilities,Out-of- State Long Term Care Facilities
80002,Delaware,Out-of- State Long Term Care Facilities
390002,Pennsylvania,Out-of- State Long Term Care Facilities
490002,Virginia,Out-of- State Long Term Care Facilities
510002,West Virginia,Out-of- State Long Term Care Facilities
770002,Other Out-of-State Skilled Nursing Facilites,Out-of- State Long Term Care Facilities
